2024-03-17 22:55:30,170:INFO:Launching server...
2024-03-17 22:55:45,211:INFO:Sending: d1dc7729:PONG: to ('127.0.0.1', 61009)
2024-03-17 22:55:45,211:INFO:Sending job to: 61068bdc ('127.0.0.1', 61123) with iterations from 3611 to 5415
2024-03-17 22:55:45,211:INFO:Sending: 61068bdc:JOB:d1dc7729;343d9040a671c45832ee5381860e2996;3611;5415;3 to ('127.0.0.1', 61123)
2024-03-17 22:55:45,211:INFO:Received: e2cc215a:RESULT:d1dc7729;Psw123 from ('127.0.0.1', 61121)
2024-03-17 22:55:45,211:INFO:Job result: d1dc7729;Psw123 from e2cc215a ('127.0.0.1', 61121)
2024-03-17 22:55:45,211:INFO:Aborting all active workers
2024-03-17 22:55:45,211:INFO:Sending: 02d51043:ABORT: to ('127.0.0.1', 61122)
2024-03-17 22:55:45,211:INFO:Sending job to: 793f9c4b ('127.0.0.1', 61124) with iterations from 5416 to 7220
2024-03-17 22:55:45,211:INFO:Sending: 793f9c4b:JOB:d1dc7729;343d9040a671c45832ee5381860e2996;5416;7220;3 to ('127.0.0.1', 61124)
2024-03-17 22:55:45,215:INFO:Received: 02d51043:ACK_JOB: from ('127.0.0.1', 61122)
2024-03-17 22:55:45,216:INFO:Job accepted by 02d51043 ('127.0.0.1', 61122)
2024-03-17 22:55:45,216:INFO:Sending job to: 8fae01f0 ('127.0.0.1', 61125) with iterations from 7221 to 9025
2024-03-17 22:55:45,216:INFO:Sending: 8fae01f0:JOB:d1dc7729;343d9040a671c45832ee5381860e2996;7221;9025;3 to ('127.0.0.1', 61125)
2024-03-17 22:55:45,216:INFO:Received: 61068bdc:ACK_JOB: from ('127.0.0.1', 61123)
2024-03-17 22:55:45,216:INFO:Job accepted by 61068bdc ('127.0.0.1', 61123)
2024-03-17 22:55:45,217:INFO:Received: 02d51043:FAIL:d1dc7729 from ('127.0.0.1', 61122)
2024-03-17 22:55:45,217:INFO:Job result: FAIL from 02d51043 ('127.0.0.1', 61122)
2024-03-17 22:55:45,217:INFO:Received: 793f9c4b:ACK_JOB: from ('127.0.0.1', 61124)
2024-03-17 22:55:45,217:INFO:Job accepted by 793f9c4b ('127.0.0.1', 61124)
2024-03-17 22:55:45,217:INFO:Received: 8fae01f0:ACK_JOB: from ('127.0.0.1', 61125)
2024-03-17 22:55:45,217:INFO:Job accepted by 8fae01f0 ('127.0.0.1', 61125)
2024-03-17 22:55:50,220:INFO:Received: d1dc7729:PING: from ('127.0.0.1', 61009)
2024-03-17 22:55:50,220:INFO:Job d1dc7729 finished in 5.02 seconds
2024-03-17 22:55:50,220:INFO:Sending: d1dc7729:RESULT:Psw123 to ('127.0.0.1', 61009)
2024-03-17 22:55:52,526:INFO:Received: 0:PING: from ('127.0.0.1', 61010)
2024-03-17 22:55:52,526:INFO:New client a9960eaa ('127.0.0.1', 61010) joined
2024-03-17 22:55:52,526:INFO:Sending: a9960eaa:PONG: to ('127.0.0.1', 61010)
2024-03-17 22:55:52,537:INFO:Received: a9960eaa:JOB:343d9040a671c45832ee5381860e2996;3 from ('127.0.0.1', 61010)
2024-03-17 22:55:52,537:INFO:New job added to queue: a9960eaa, 343d9040a671c45832ee5381860e2996;3
2024-03-17 22:55:52,537:INFO:Sending: e2cc215a:PING: to ('127.0.0.1', 61121)
2024-03-17 22:55:52,538:INFO:Received: e2cc215a:IDLE: from ('127.0.0.1', 61121)
2024-03-17 22:55:52,538:INFO:Sending: 02d51043:PING: to ('127.0.0.1', 61122)
2024-03-17 22:55:52,539:INFO:Received: 02d51043:IDLE: from ('127.0.0.1', 61122)
2024-03-17 22:55:52,539:INFO:Sending: 61068bdc:PING: to ('127.0.0.1', 61123)
2024-03-17 22:55:52,541:INFO:Received: 61068bdc:BUSY: from ('127.0.0.1', 61123)
2024-03-17 22:55:52,541:INFO:Sending: 793f9c4b:PING: to ('127.0.0.1', 61124)
2024-03-17 22:55:52,543:INFO:Received: 793f9c4b:BUSY: from ('127.0.0.1', 61124)
2024-03-17 22:55:52,543:INFO:Sending: 8fae01f0:PING: to ('127.0.0.1', 61125)
2024-03-17 22:55:52,545:INFO:Received: 8fae01f0:BUSY: from ('127.0.0.1', 61125)
2024-03-17 22:55:52,546:WARNING:Too many workers busy
2024-03-17 22:55:52,546:INFO:Sending: a9960eaa:ERROR:Not enough available workers to ('127.0.0.1', 61010)
2024-03-17 22:55:53,235:INFO:Received: 8fae01f0:RESULT:d1dc7729;Psw123 from ('127.0.0.1', 61125)
2024-03-17 22:55:53,235:INFO:Job result: d1dc7729;Psw123 from 8fae01f0 ('127.0.0.1', 61125)
2024-03-17 22:55:53,235:INFO:Aborting all active workers
2024-03-17 22:55:53,235:INFO:Sending: 61068bdc:ABORT: to ('127.0.0.1', 61123)
2024-03-17 22:55:53,235:INFO:Sending: 793f9c4b:ABORT: to ('127.0.0.1', 61124)
2024-03-17 22:55:55,232:INFO:Received: 61068bdc:ABORT:d1dc7729 from ('127.0.0.1', 61123)
2024-03-17 22:55:55,232:INFO:Job d1dc7729 aborted by 61068bdc ('127.0.0.1', 61123)
2024-03-17 22:55:57,232:INFO:Received: 793f9c4b:ABORT:d1dc7729 from ('127.0.0.1', 61124)
2024-03-17 22:55:57,233:INFO:Job d1dc7729 aborted by 793f9c4b ('127.0.0.1', 61124)
2024-03-17 22:55:57,549:INFO:Received: a9960eaa:JOB:343d9040a671c45832ee5381860e2996;3 from ('127.0.0.1', 61010)
2024-03-17 22:55:57,550:INFO:New job added to queue: a9960eaa, 343d9040a671c45832ee5381860e2996;3
2024-03-17 22:55:57,550:INFO:Sending: e2cc215a:PING: to ('127.0.0.1', 61121)
2024-03-17 22:55:57,551:INFO:Received: e2cc215a:IDLE: from ('127.0.0.1', 61121)
2024-03-17 22:55:57,551:INFO:Sending: 02d51043:PING: to ('127.0.0.1', 61122)
2024-03-17 22:55:57,552:INFO:Received: 02d51043:IDLE: from ('127.0.0.1', 61122)
2024-03-17 22:55:57,552:INFO:Sending: 61068bdc:PING: to ('127.0.0.1', 61123)
2024-03-17 22:55:57,553:INFO:Received: 61068bdc:IDLE: from ('127.0.0.1', 61123)
2024-03-17 22:55:57,553:INFO:Sending: 793f9c4b:PING: to ('127.0.0.1', 61124)
2024-03-17 22:55:57,554:INFO:Received: 793f9c4b:IDLE: from ('127.0.0.1', 61124)
2024-03-17 22:55:57,554:INFO:Sending: 8fae01f0:PING: to ('127.0.0.1', 61125)
2024-03-17 22:55:57,556:INFO:Received: 8fae01f0:IDLE: from ('127.0.0.1', 61125)
2024-03-17 22:55:57,556:INFO:Sending: a9960eaa:ACK_JOB: to ('127.0.0.1', 61010)
2024-03-17 22:55:57,556:INFO:Sending job to: e2cc215a ('127.0.0.1', 61121) with iterations from 0 to 1805
2024-03-17 22:55:57,556:INFO:Sending: e2cc215a:JOB:a9960eaa;343d9040a671c45832ee5381860e2996;0;1805;3 to ('127.0.0.1', 61121)
2024-03-17 22:55:57,557:INFO:Received: a9960eaa:PING: from ('127.0.0.1', 61010)
2024-03-17 22:55:57,558:INFO:Sending: a9960eaa:PONG: to ('127.0.0.1', 61010)
2024-03-17 22:55:57,558:INFO:Sending job to: 02d51043 ('127.0.0.1', 61122) with iterations from 1806 to 3610
2024-03-17 22:55:57,558:INFO:Sending: 02d51043:JOB:a9960eaa;343d9040a671c45832ee5381860e2996;1806;3610;3 to ('127.0.0.1', 61122)
2024-03-17 22:55:57,558:INFO:Received: e2cc215a:ACK_JOB: from ('127.0.0.1', 61121)
2024-03-17 22:55:57,559:INFO:Job accepted by e2cc215a ('127.0.0.1', 61121)
2024-03-17 22:55:57,559:INFO:Sending job to: 61068bdc ('127.0.0.1', 61123) with iterations from 3611 to 5415
2024-03-17 22:55:57,559:INFO:Sending: 61068bdc:JOB:a9960eaa;343d9040a671c45832ee5381860e2996;3611;5415;3 to ('127.0.0.1', 61123)
2024-03-17 22:55:57,559:INFO:Received: e2cc215a:RESULT:a9960eaa;Psw123 from ('127.0.0.1', 61121)
2024-03-17 22:55:57,560:INFO:Job result: a9960eaa;Psw123 from e2cc215a ('127.0.0.1', 61121)
2024-03-17 22:55:57,560:INFO:Aborting all active workers
2024-03-17 22:55:57,560:INFO:Sending: 02d51043:ABORT: to ('127.0.0.1', 61122)
2024-03-17 22:55:57,561:INFO:Sending job to: 793f9c4b ('127.0.0.1', 61124) with iterations from 5416 to 7220
2024-03-17 22:55:57,561:INFO:Sending: 793f9c4b:JOB:a9960eaa;343d9040a671c45832ee5381860e2996;5416;7220;3 to ('127.0.0.1', 61124)
2024-03-17 22:55:57,562:INFO:Received: 02d51043:ACK_JOB: from ('127.0.0.1', 61122)
2024-03-17 22:55:57,562:INFO:Job accepted by 02d51043 ('127.0.0.1', 61122)
2024-03-17 22:55:57,562:INFO:Sending job to: 8fae01f0 ('127.0.0.1', 61125) with iterations from 7221 to 9025
2024-03-17 22:55:57,562:INFO:Sending: 8fae01f0:JOB:a9960eaa;343d9040a671c45832ee5381860e2996;7221;9025;3 to ('127.0.0.1', 61125)
2024-03-17 22:55:57,562:INFO:Received: 61068bdc:ACK_JOB: from ('127.0.0.1', 61123)
2024-03-17 22:55:57,563:INFO:Job accepted by 61068bdc ('127.0.0.1', 61123)
2024-03-17 22:55:57,563:INFO:Received: 02d51043:RESULT:a9960eaa;Psw123 from ('127.0.0.1', 61122)
2024-03-17 22:55:57,563:INFO:Job result: a9960eaa;Psw123 from 02d51043 ('127.0.0.1', 61122)
2024-03-17 22:55:57,563:INFO:Aborting all active workers
2024-03-17 22:55:57,563:INFO:Sending: 61068bdc:ABORT: to ('127.0.0.1', 61123)
2024-03-17 22:55:57,563:INFO:Sending: 793f9c4b:ABORT: to ('127.0.0.1', 61124)
2024-03-17 22:55:57,564:INFO:Sending: 8fae01f0:ABORT: to ('127.0.0.1', 61125)
2024-03-17 22:55:57,565:INFO:Received: 61068bdc:RESULT:a9960eaa;Psw123 from ('127.0.0.1', 61123)
2024-03-17 22:55:57,565:INFO:Job result: a9960eaa;Psw123 from 61068bdc ('127.0.0.1', 61123)
2024-03-17 22:55:57,565:INFO:Aborting all active workers
2024-03-17 22:55:57,565:INFO:Received: 793f9c4b:ACK_JOB: from ('127.0.0.1', 61124)
2024-03-17 22:55:57,565:INFO:Job accepted by 793f9c4b ('127.0.0.1', 61124)
2024-03-17 22:55:57,566:INFO:Received: 8fae01f0:ACK_JOB: from ('127.0.0.1', 61125)
2024-03-17 22:55:57,566:INFO:Job accepted by 8fae01f0 ('127.0.0.1', 61125)
2024-03-17 22:55:57,566:INFO:Received: 793f9c4b:RESULT:a9960eaa;Psw123 from ('127.0.0.1', 61124)
2024-03-17 22:55:57,566:INFO:Job result: a9960eaa;Psw123 from 793f9c4b ('127.0.0.1', 61124)
2024-03-17 22:55:57,566:INFO:Aborting all active workers
2024-03-17 22:55:59,577:INFO:Received: 8fae01f0:ABORT:a9960eaa from ('127.0.0.1', 61125)
2024-03-17 22:55:59,577:INFO:Job a9960eaa aborted by 8fae01f0 ('127.0.0.1', 61125)
2024-03-17 22:56:02,562:INFO:Received: a9960eaa:PING: from ('127.0.0.1', 61010)
2024-03-17 22:56:02,562:INFO:Job a9960eaa finished in 5.01 seconds
2024-03-17 22:56:02,562:INFO:Sending: a9960eaa:RESULT:Psw123 to ('127.0.0.1', 61010)
2024-03-17 22:56:07,293:INFO:Received: 0:PING: from ('127.0.0.1', 57271)
2024-03-17 22:56:07,293:INFO:New client 3e3cebfc ('127.0.0.1', 57271) joined
2024-03-17 22:56:07,293:INFO:Sending: 3e3cebfc:PONG: to ('127.0.0.1', 57271)
2024-03-17 22:56:07,300:INFO:Received: 3e3cebfc:JOB:343d9040a671c45832ee5381860e2996;3 from ('127.0.0.1', 57271)
2024-03-17 22:56:07,300:INFO:New job added to queue: 3e3cebfc, 343d9040a671c45832ee5381860e2996;3
2024-03-17 22:56:07,300:INFO:Sending: e2cc215a:PING: to ('127.0.0.1', 61121)
2024-03-17 22:56:07,301:INFO:Received: e2cc215a:IDLE: from ('127.0.0.1', 61121)
2024-03-17 22:56:07,301:INFO:Sending: 02d51043:PING: to ('127.0.0.1', 61122)
2024-03-17 22:56:07,302:INFO:Received: 02d51043:IDLE: from ('127.0.0.1', 61122)
2024-03-17 22:56:07,302:INFO:Sending: 61068bdc:PING: to ('127.0.0.1', 61123)
2024-03-17 22:56:07,304:INFO:Received: 61068bdc:IDLE: from ('127.0.0.1', 61123)
2024-03-17 22:56:07,304:INFO:Sending: 793f9c4b:PING: to ('127.0.0.1', 61124)
2024-03-17 22:56:07,306:INFO:Received: 793f9c4b:IDLE: from ('127.0.0.1', 61124)
2024-03-17 22:56:07,306:INFO:Sending: 8fae01f0:PING: to ('127.0.0.1', 61125)
2024-03-17 22:56:07,306:INFO:Received: 8fae01f0:IDLE: from ('127.0.0.1', 61125)
2024-03-17 22:56:07,307:INFO:Sending: 3e3cebfc:ACK_JOB: to ('127.0.0.1', 57271)
2024-03-17 22:56:07,307:INFO:Sending job to: e2cc215a ('127.0.0.1', 61121) with iterations from 0 to 1805
2024-03-17 22:56:07,307:INFO:Sending: e2cc215a:JOB:3e3cebfc;343d9040a671c45832ee5381860e2996;0;1805;3 to ('127.0.0.1', 61121)
2024-03-17 22:56:07,309:INFO:Received: 3e3cebfc:PING: from ('127.0.0.1', 57271)
2024-03-17 22:56:07,309:INFO:Sending: 3e3cebfc:PONG: to ('127.0.0.1', 57271)
2024-03-17 22:56:07,309:INFO:Sending job to: 02d51043 ('127.0.0.1', 61122) with iterations from 1806 to 3610
2024-03-17 22:56:07,309:INFO:Sending: 02d51043:JOB:3e3cebfc;343d9040a671c45832ee5381860e2996;1806;3610;3 to ('127.0.0.1', 61122)
2024-03-17 22:56:07,311:INFO:Received: e2cc215a:ACK_JOB: from ('127.0.0.1', 61121)
2024-03-17 22:56:07,311:INFO:Job accepted by e2cc215a ('127.0.0.1', 61121)
2024-03-17 22:56:07,311:INFO:Sending job to: 61068bdc ('127.0.0.1', 61123) with iterations from 3611 to 5415
2024-03-17 22:56:07,311:INFO:Sending: 61068bdc:JOB:3e3cebfc;343d9040a671c45832ee5381860e2996;3611;5415;3 to ('127.0.0.1', 61123)
2024-03-17 22:56:07,312:INFO:Received: 02d51043:ACK_JOB: from ('127.0.0.1', 61122)
2024-03-17 22:56:07,312:INFO:Job accepted by 02d51043 ('127.0.0.1', 61122)
2024-03-17 22:56:07,312:INFO:Sending job to: 793f9c4b ('127.0.0.1', 61124) with iterations from 5416 to 7220
2024-03-17 22:56:07,312:INFO:Sending: 793f9c4b:JOB:3e3cebfc;343d9040a671c45832ee5381860e2996;5416;7220;3 to ('127.0.0.1', 61124)
2024-03-17 22:56:07,313:INFO:Received: 61068bdc:ACK_JOB: from ('127.0.0.1', 61123)
2024-03-17 22:56:07,314:INFO:Job accepted by 61068bdc ('127.0.0.1', 61123)
2024-03-17 22:56:07,314:INFO:Sending job to: 8fae01f0 ('127.0.0.1', 61125) with iterations from 7221 to 9025
2024-03-17 22:56:07,314:INFO:Sending: 8fae01f0:JOB:3e3cebfc;343d9040a671c45832ee5381860e2996;7221;9025;3 to ('127.0.0.1', 61125)
2024-03-17 22:56:07,314:INFO:Received: 61068bdc:FAIL:3e3cebfc from ('127.0.0.1', 61123)
2024-03-17 22:56:07,314:INFO:Job result: FAIL from 61068bdc ('127.0.0.1', 61123)
2024-03-17 22:56:07,316:INFO:Received: 793f9c4b:ACK_JOB: from ('127.0.0.1', 61124)
2024-03-17 22:56:07,316:INFO:Job accepted by 793f9c4b ('127.0.0.1', 61124)
2024-03-17 22:56:07,316:INFO:Received: 8fae01f0:ACK_JOB: from ('127.0.0.1', 61125)
2024-03-17 22:56:07,316:INFO:Job accepted by 8fae01f0 ('127.0.0.1', 61125)
2024-03-17 22:56:07,317:INFO:Received: 793f9c4b:FAIL:3e3cebfc from ('127.0.0.1', 61124)
2024-03-17 22:56:07,317:INFO:Job result: FAIL from 793f9c4b ('127.0.0.1', 61124)
2024-03-17 22:56:07,317:INFO:Received: 8fae01f0:RESULT:3e3cebfc;Psw123 from ('127.0.0.1', 61125)
2024-03-17 22:56:07,317:INFO:Job result: 3e3cebfc;Psw123 from 8fae01f0 ('127.0.0.1', 61125)
2024-03-17 22:56:07,317:INFO:Aborting all active workers
2024-03-17 22:56:07,317:INFO:Sending: e2cc215a:ABORT: to ('127.0.0.1', 61121)
2024-03-17 22:56:07,318:INFO:Sending: 02d51043:ABORT: to ('127.0.0.1', 61122)
2024-03-17 22:56:12,319:INFO:Received: 3e3cebfc:PING: from ('127.0.0.1', 57271)
2024-03-17 22:56:12,319:INFO:Job 3e3cebfc finished in 5.02 seconds
2024-03-17 22:56:12,319:INFO:Sending: 3e3cebfc:RESULT:Psw123 to ('127.0.0.1', 57271)
2024-03-17 22:56:12,320:INFO:Received: 02d51043:ABORT:3e3cebfc from ('127.0.0.1', 61122)
2024-03-17 22:56:12,320:INFO:Job 3e3cebfc aborted by 02d51043 ('127.0.0.1', 61122)
2024-03-17 22:56:12,320:INFO:Received: e2cc215a:ABORT:3e3cebfc from ('127.0.0.1', 61121)
2024-03-17 22:56:12,320:INFO:Job 3e3cebfc aborted by e2cc215a ('127.0.0.1', 61121)
2024-03-17 22:56:26,713:INFO:Received: 0:PING: from ('127.0.0.1', 52009)
2024-03-17 22:56:26,713:INFO:New client 75420354 ('127.0.0.1', 52009) joined
2024-03-17 22:56:26,713:INFO:Sending: 75420354:PONG: to ('127.0.0.1', 52009)
2024-03-17 22:56:26,723:INFO:Received: 75420354:JOB:343d9040a671c45832ee5381860e2996;3 from ('127.0.0.1', 52009)
2024-03-17 22:56:26,723:INFO:New job added to queue: 75420354, 343d9040a671c45832ee5381860e2996;3
